"Alpha","Power"
0,0.0266666666666667
0.0103448275862069,0.0366666666666667
0.0206896551724138,0.0633333333333333
0.0310344827586207,0.0533333333333334
0.0413793103448276,0.11
0.0517241379310345,0.126666666666667
0.0620689655172414,0.12
0.0724137931034483,0.18
0.0827586206896552,0.176666666666667
0.0931034482758621,0.256666666666667
0.103448275862069,0.243333333333333
0.113793103448276,0.273333333333333
0.124137931034483,0.366666666666667
0.13448275862069,0.38
0.144827586206897,0.53
0.155172413793103,0.526666666666667
0.16551724137931,0.573333333333333
0.175862068965517,0.623333333333333
0.186206896551724,0.603333333333333
0.196551724137931,0.686666666666667
0.206896551724138,0.686666666666667
0.217241379310345,0.74
0.227586206896552,0.786666666666667
0.237931034482759,0.813333333333333
0.248275862068966,0.86
0.258620689655172,0.883333333333333
0.268965517241379,0.896666666666667
0.279310344827586,0.923333333333333
0.289655172413793,0.936666666666667
0.3,0.913333333333333
