"Alpha","Power"
0,0.0358
0.00344827586206897,0.0360000000000002
0.00689655172413793,0.0353999999999999
0.0103448275862069,0.0425999999999999
0.0137931034482759,0.0512000000000002
0.0172413793103448,0.0593999999999999
0.0206896551724138,0.0694000000000001
0.0241379310344828,0.0878
0.0275862068965517,0.1064
0.0310344827586207,0.1244
0.0344827586206897,0.1456
0.0379310344827586,0.1636
0.0413793103448276,0.1954
0.0448275862068966,0.2362
0.0482758620689655,0.264
0.0517241379310345,0.3048
0.0551724137931035,0.3354
0.0586206896551724,0.3776
0.0620689655172414,0.4134
0.0655172413793104,0.4684
0.0689655172413793,0.5136
0.0724137931034483,0.5624
0.0758620689655173,0.5926
0.0793103448275862,0.631600000000001
0.0827586206896552,0.6738
0.0862068965517241,0.712
0.0896551724137931,0.7396
0.0931034482758621,0.785
0.096551724137931,0.8176
0.1,0.8438
