"Alpha","Power"
0,0.0340861219623244
0.0275862068965517,0.034845013204398
0.0551724137931035,0.0413934199672038
0.0827586206896552,0.0325128930337799
0.110344827586207,0.0368631111447059
0.137931034482759,0.0675255825456149
0.16551724137931,0.0613841235542443
0.193103448275862,0.0668461466344686
0.220689655172414,0.0851438445794261
0.248275862068966,0.119270948390591
0.275862068965517,0.098111853102921
0.303448275862069,0.137405936654566
0.331034482758621,0.164294018712535
0.358620689655172,0.175580685275659
0.386206896551724,0.197308278143348
0.413793103448276,0.226828995926078
0.441379310344828,0.254678878772553
0.468965517241379,0.263393354926211
0.496551724137931,0.334561741535026
0.524137931034483,0.338765501384409
0.551724137931035,0.407323792590869
0.579310344827586,0.439374016525082
0.606896551724138,0.479931527937644
0.63448275862069,0.516662265980985
0.662068965517241,0.555732953407027
0.689655172413793,0.625295810659252
0.717241379310345,0.640449184783782
0.744827586206897,0.685391426075403
0.772413793103448,0.71998267645749
0.8,0.749356736652273
