"Alpha","Power"
0,0.0423333333333332
0.0275862068965517,0.0409999999999999
0.0551724137931035,0.0403333333333335
0.0827586206896552,0.0440000000000001
0.110344827586207,0.0553333333333333
0.137931034482759,0.0520000000000001
0.16551724137931,0.0659999999999996
0.193103448275862,0.0846666666666664
0.220689655172414,0.0826666666666668
0.248275862068966,0.0996666666666666
0.275862068965517,0.105
0.303448275862069,0.132666666666667
0.331034482758621,0.15
0.358620689655172,0.178666666666667
0.386206896551724,0.206333333333333
0.413793103448276,0.231666666666667
0.441379310344828,0.260666666666667
0.468965517241379,0.284333333333333
0.496551724137931,0.326333333333333
0.524137931034483,0.362333333333334
0.551724137931035,0.406666666666667
0.579310344827586,0.446666666666667
0.606896551724138,0.475
0.63448275862069,0.528666666666667
0.662068965517241,0.555666666666666
0.689655172413793,0.590666666666667
0.717241379310345,0.647666666666667
0.744827586206897,0.685
0.772413793103448,0.718333333333333
0.8,0.763333333333333
