"Alpha","Power"
0,0.0366666666666667
0.0275862068965517,0.0466666666666667
0.0551724137931035,0.05
0.0827586206896552,0.04
0.110344827586207,0.0433333333333333
0.137931034482759,0.0533333333333334
0.16551724137931,0.0433333333333333
0.193103448275862,0.0666666666666667
0.220689655172414,0.0666666666666666
0.248275862068966,0.0633333333333334
0.275862068965517,0.0566666666666667
0.303448275862069,0.0566666666666667
0.331034482758621,0.0666666666666666
0.358620689655172,0.0666666666666666
0.386206896551724,0.07
0.413793103448276,0.1
0.441379310344828,0.116666666666667
0.468965517241379,0.123333333333333
0.496551724137931,0.153333333333333
0.524137931034483,0.203333333333333
0.551724137931035,0.186666666666667
0.579310344827586,0.223333333333333
0.606896551724138,0.373333333333333
0.63448275862069,0.39
0.662068965517241,0.463333333333333
0.689655172413793,0.556666666666667
0.717241379310345,0.65
0.744827586206897,0.703333333333333
0.772413793103448,0.79
0.8,0.803333333333333
