"Alpha","Power"
0,0.0352000000000002
0.0310344827586207,0.0492
0.0620689655172414,0.0964000000000002
0.0931034482758621,0.166
0.124137931034483,0.258599999999999
0.155172413793103,0.385
0.186206896551724,0.52
0.217241379310345,0.6368
0.248275862068966,0.7544
0.279310344827586,0.8426
0.310344827586207,0.9076
0.341379310344828,0.9442
0.372413793103448,0.9724
0.403448275862069,0.9862
0.43448275862069,0.9904
0.46551724137931,0.9966
0.496551724137931,0.9978
0.527586206896552,0.9998
0.558620689655172,0.9998
0.589655172413793,0.9998
0.620689655172414,1
0.651724137931034,1
0.682758620689655,1
0.713793103448276,1
0.744827586206896,1
0.775862068965517,1
0.806896551724138,1
0.837931034482759,1
0.868965517241379,1
0.9,1
