"Alpha","Power_V","Power_U"
0,0.039,0.0420000000000001
0.0285714285714286,0.0693333333333335,0.0686666666666664
0.0571428571428571,0.117333333333333,0.112333333333333
0.0857142857142857,0.232,0.217
0.114285714285714,0.371666666666667,0.364666666666667
0.142857142857143,0.549333333333333,0.548
0.171428571428571,0.694,0.689333333333333
0.2,0.812333333333333,0.809
0.228571428571429,0.901666666666666,0.894666666666667
0.257142857142857,0.949666666666666,0.948666666666667
0.285714285714286,0.981666666666667,0.980333333333333
0.314285714285714,0.993333333333333,0.99
0.342857142857143,0.997,0.997333333333333
0.371428571428571,0.999666666666667,0.999666666666667
0.4,0.999666666666667,0.999666666666667
